acc,start,end,label
DP02732,1547,1569,disordered
DP02732,1570,1607,structured
DP03745,25,34,disordered
DP03745,35,120,structured
DP03745,121,145,disordered
DP03748,1,168,structured
DP03748,169,180,disordered
DP03749,1,11,disordered
DP03749,12,258,structured
DP03758,352,548,disordered
DP03758,550,692,structured
DP03759,1,77,disordered
DP03759,78,290,structured
DP03759,294,327,structured
DP03759,328,347,disordered
DP03759,348,396,structured
DP03802,1,737,structured
DP03802,738,1171,disordered
DP03803,339,354,disordered
DP03803,355,404,structured
DP03803,500,694,structured
DP03804,1,70,structured
DP03804,71,338,disordered
DP03806,293,365,disordered
DP03810,5,551,structured
DP03810,552,564,disordered
DP03812,1,98,structured
DP03812,99,111,disordered
DP03812,112,315,structured
DP03813,2,327,structured
DP03813,334,392,structured
DP03813,393,404,disordered
DP03814,1,214,structured
DP03814,215,230,disordered
DP03815,1,22,disordered
DP03815,23,370,structured
DP03818,1,13,disordered
DP03819,1,13,disordered
DP03824,1,205,disordered
DP03824,206,855,structured
DP03824,856,925,disordered
DP03824,926,934,structured
DP03824,936,1136,structured
DP03826,1,84,disordered
DP03826,85,108,structured
DP03826,119,236,structured
DP03826,242,336,structured
DP03826,366,497,structured
DP03826,508,683,structured
DP03826,693,844,structured
DP03826,848,872,structured
DP03826,876,886,structured
DP03826,892,938,structured
DP03826,941,951,structured
DP03826,952,1074,disordered
DP03826,1075,1100,structured
DP03826,1106,1138,structured
DP03888,1,14,disordered
DP03888,15,95,structured
DP03897,1,24,disordered
DP03897,25,198,structured
DP03898,1,327,structured
DP03898,328,339,disordered
DP03898,340,476,structured
DP03898,477,486,disordered
DP03909,1,10,disordered
DP03909,11,83,structured
DP03909,84,93,disordered
DP03909,94,370,structured
DP03912,1,204,structured
DP03912,205,215,disordered
DP03913,1,100,structured
DP03913,101,114,disordered
DP03913,115,162,structured
DP03914,1,30,structured
DP03914,31,161,disordered
DP03915,1,52,structured
DP03915,53,63,disordered
DP03915,64,325,structured
DP03916,1,35,disordered
DP03920,39,52,disordered
DP03921,92,112,disordered
DP03921,113,233,structured
DP03923,31,48,disordered
DP03927,981,981,structured
DP03927,982,1027,disordered
DP03927,1028,1069,structured
DP03927,1070,1084,disordered
DP03929,195,486,disordered
DP03930,728,852,disordered
DP03931,193,202,structured
DP03931,718,771,disordered
DP03933,2,97,structured
DP03933,98,141,disordered
DP03933,142,222,structured
DP03933,223,413,disordered
DP03934,2,97,structured
DP03934,98,153,disordered
DP03934,154,234,structured
DP03934,235,440,disordered
DP03935,252,356,disordered
DP03937,270,333,disordered
DP03938,1,41,disordered
DP03938,192,207,disordered
DP03939,87,135,structured
DP03939,146,336,structured
DP03939,344,417,structured
DP03939,418,450,disordered
DP03939,451,542,structured
DP03939,543,569,disordered
DP03940,25,59,disordered
DP03940,60,432,structured
DP03940,433,448,disordered
DP03941,2,122,disordered
DP03941,125,179,structured
DP03941,210,264,structured
DP03941,269,404,disordered
DP03942,1,22,disordered
DP03942,23,683,structured
DP03943,7,79,structured
DP03943,80,89,disordered
DP03943,90,431,structured
DP03947,404,421,disordered
DP03948,1,28,disordered
DP03948,29,193,structured
DP03948,194,214,disordered
DP03948,215,230,structured
DP03950,1,61,disordered
DP03950,62,463,structured
DP03951,27,29,structured
DP03951,30,111,disordered
DP03951,112,419,structured
DP03951,420,435,disordered
DP03972,1,150,structured
DP03972,458,492,structured
DP03972,541,924,structured
DP03972,929,1340,structured
DP03972,1341,1351,disordered
DP03972,1352,1407,structured
DP03972,1452,1457,structured
DP03972,1458,1467,disordered
DP03972,1468,1516,structured
DP03972,1517,1531,disordered
DP03972,1532,1532,structured
DP03972,1552,1665,structured
DP03973,1,216,structured
DP03973,217,234,disordered
DP03973,235,701,structured
DP03974,1,36,disordered
DP03974,37,377,structured
DP03974,388,467,disordered
DP03974,489,754,structured
DP03978,1,221,structured
DP03978,222,233,disordered
DP03978,234,623,structured
DP03979,585,815,disordered
DP03980,347,472,disordered
DP03982,1,210,disordered
DP03984,21,143,disordered
DP03985,183,223,disordered
DP03985,224,358,structured
DP03985,363,456,structured
DP03985,460,497,structured
DP03985,503,530,structured
DP03985,532,585,structured
DP03988,1,136,disordered
DP03989,22,85,disordered
DP03989,86,177,structured
DP03990,32,51,structured
DP03990,55,169,structured
DP03990,184,197,structured
DP03990,205,242,structured
DP03990,249,311,structured
DP03990,312,394,disordered
DP03992,1,174,structured
DP03992,175,196,disordered
DP03993,1,11,disordered
DP03993,12,55,structured
DP03993,56,65,disordered
DP03993,66,269,structured
DP03994,1,337,structured
DP03994,338,390,disordered
DP03995,81,85,structured
DP03995,86,97,disordered
DP03995,98,113,structured
DP03995,114,125,disordered
DP03995,126,313,structured
DP03996,93,172,structured
DP03996,173,193,disordered
DP03996,194,257,structured
DP03996,258,271,disordered
DP03996,272,352,structured
DP03996,353,391,disordered
DP03996,392,464,structured
DP03996,470,510,structured
DP03997,199,215,structured
DP03997,220,251,structured
DP03997,254,263,structured
DP03997,267,274,structured
DP03997,275,287,disordered
DP03997,288,297,structured
DP03997,306,327,structured
DP03997,332,346,structured
DP03997,350,373,structured
DP03997,374,391,disordered
DP03997,392,415,structured
DP03997,416,435,disordered
DP03997,436,482,structured
DP03997,489,531,structured
DP03998,7,85,structured
DP03998,86,117,disordered
DP03998,118,336,structured
DP03999,2,125,structured
DP03999,126,174,disordered
DP03999,177,199,structured
DP04002,201,300,disordered
DP04005,1849,1870,disordered
DP04006,104,245,disordered
DP04007,226,702,disordered
DP04008,42,162,disordered
DP04009,1,92,disordered
DP04010,1,83,disordered
DP04011,1,71,disordered
DP04012,1,92,disordered
DP04014,1,82,disordered
DP04015,50,189,disordered
