acc,start,end,label
DP03818,1,13,disordered
DP03914,1,49,structured
DP03914,50,64,disordered
DP03914,65,707,structured
DP03927,1,1072,structured
DP03927,1073,1082,disordered
DP03927,1083,1084,structured
DP03930,1,773,structured
DP03930,774,829,disordered
DP03930,830,852,structured
DP03984,1,58,structured
DP03984,59,72,disordered
DP03984,73,79,structured
DP03984,80,90,disordered
DP03984,91,109,structured
DP03984,110,122,disordered
DP03984,123,128,structured
DP03984,129,141,disordered
DP03984,142,143,structured
DP03988,1,61,structured
DP03988,62,71,disordered
DP03988,72,136,structured
DP03990,1,337,structured
DP03990,338,394,disordered
DP04002,1,262,structured
DP04002,263,291,disordered
DP04002,292,499,structured
DP04024,1,113,structured
DP04024,114,134,disordered
DP04028,1,225,structured
DP04028,226,232,disordered
DP04028,233,256,structured
DP04092,1,204,structured
DP04092,205,222,disordered
DP04092,223,461,structured
DP04134,1,75,structured
DP04134,76,113,disordered
DP04134,114,140,structured
DP04141,1,72,structured
DP04141,73,111,disordered
DP04141,112,287,structured
DP04142,1,604,structured
DP04142,605,615,disordered
DP04142,616,632,structured
DP04145,1,80,structured
DP04145,81,98,disordered
DP04145,99,100,structured
DP04145,101,119,disordered
DP04145,120,422,structured
DP04155,1,613,structured
DP04155,614,630,disordered
DP04155,631,646,structured
DP04155,647,663,disordered
DP04155,664,1068,structured
DP04156,1,218,structured
DP04156,219,232,disordered
DP04156,233,665,structured
DP04159,1,94,structured
DP04159,95,99,disordered
DP04159,100,105,structured
DP04160,1,306,structured
DP04160,307,315,disordered
DP04161,1,34,structured
DP04161,35,77,disordered
DP04161,78,508,structured
DP04161,509,515,disordered
DP04161,516,550,structured
DP04167,1,329,structured
DP04167,330,348,disordered
DP04167,349,355,structured
DP04169,1,33,disordered
DP04169,34,593,structured
DP04189,1,130,structured
DP04189,131,141,disordered
DP04189,142,262,structured
DP04189,263,273,disordered
DP04189,274,298,structured
DP04190,1,1,structured
DP04190,2,34,disordered
DP04190,35,88,structured
DP04191,1,1024,structured
DP04191,1025,1090,disordered
DP04191,1091,1162,structured
DP04192,1,49,structured
DP04192,50,65,disordered
DP04192,66,72,structured
DP04193,1,37,structured
DP04193,38,54,disordered
DP04193,55,93,structured
DP04197,1,8,structured
DP04197,9,30,disordered
DP04197,31,1447,structured
DP04198,1,2949,structured
DP04198,2950,2989,disordered
DP04198,2990,3010,structured
DP04199,1,164,structured
DP04199,165,178,disordered
DP04219,1,27,disordered
DP04219,28,338,structured
DP04235,1,139,structured
DP04235,140,183,disordered
DP04235,184,229,structured
DP04236,1,64,structured
DP04236,65,75,disordered
DP04236,76,330,structured
DP04239,1,301,structured
DP04239,302,320,disordered
DP04239,321,1430,structured
DP04241,1,59,structured
DP04241,60,70,disordered
DP04241,71,79,structured
DP04241,80,118,disordered
DP04241,119,184,structured
DP04241,185,198,disordered
DP04241,199,287,structured
DP04241,288,294,disordered
DP04241,295,467,structured
DP04250,1,129,structured
DP04250,130,144,disordered
DP04250,145,226,structured
DP04255,1,112,structured
DP04255,113,170,disordered
DP04255,171,490,structured
DP04257,1,169,structured
DP04257,170,175,disordered
DP04257,176,577,structured
DP04259,1,281,structured
DP04259,282,299,disordered
DP04260,1,39,structured
DP04260,40,63,disordered
DP04260,64,543,structured
DP04264,1,420,structured
DP04264,421,439,disordered
DP04264,440,470,structured
DP04264,471,495,disordered
DP04264,496,555,structured
DP04264,556,571,disordered
DP04264,572,713,structured
DP04273,1,330,disordered
DP04273,331,1465,structured
DP04280,1,989,disordered
DP04295,1,429,structured
DP04295,430,465,disordered
DP04295,466,518,structured
DP04298,1,524,structured
DP04298,525,555,disordered
DP04298,556,671,structured
DP04308,1,204,disordered
DP04328,1,175,structured
DP04328,176,200,disordered
DP04328,201,620,structured
DP04337,1,371,structured
DP04337,372,377,disordered
DP04337,378,432,structured
DP04341,1,398,structured
DP04341,399,439,disordered
DP04341,440,543,structured
DP04379,1,110,disordered
DP04379,111,464,structured
DP04388,1,64,structured
DP04388,65,97,disordered
DP04388,98,417,structured
DP04391,1,23,structured
DP04391,24,50,disordered
DP04391,51,139,structured
