acc,start,end,label
DP03818,1,13,disordered
DP03914,31,49,structured
DP03914,50,64,disordered
DP03914,65,161,structured
DP03927,982,1027,structured
DP03927,1070,1072,structured
DP03927,1073,1082,disordered
DP03927,1083,1084,structured
DP03930,728,773,structured
DP03930,774,829,disordered
DP03930,830,852,structured
DP03984,21,58,structured
DP03984,59,72,disordered
DP03984,73,79,structured
DP03984,80,90,disordered
DP03984,91,109,structured
DP03984,110,122,disordered
DP03984,123,128,structured
DP03984,129,141,disordered
DP03984,142,143,structured
DP03988,1,61,structured
DP03988,62,71,disordered
DP03988,72,136,structured
DP03990,312,337,structured
DP03990,338,394,disordered
DP04002,201,262,structured
DP04002,263,291,disordered
DP04002,292,300,structured
DP04024,71,113,structured
DP04024,114,134,disordered
DP04028,165,184,structured
DP04028,194,203,structured
DP04028,225,225,structured
DP04028,226,232,disordered
DP04028,233,255,structured
DP04092,205,222,disordered
DP04092,356,393,structured
DP04134,1,75,structured
DP04134,76,113,disordered
DP04141,1,72,structured
DP04141,73,111,disordered
DP04141,112,124,structured
DP04142,570,604,structured
DP04142,605,615,disordered
DP04142,616,632,structured
DP04145,81,98,disordered
DP04145,99,100,structured
DP04145,101,119,disordered
DP04145,120,142,structured
DP04155,612,613,structured
DP04155,614,630,disordered
DP04155,631,646,structured
DP04155,647,663,disordered
DP04155,664,687,structured
DP04156,163,218,structured
DP04156,219,232,disordered
DP04156,233,263,structured
DP04159,1,55,structured
DP04159,77,94,structured
DP04159,95,99,disordered
DP04159,100,105,structured
DP04160,296,306,structured
DP04160,307,315,disordered
DP04161,1,34,structured
DP04161,35,77,disordered
DP04161,78,80,structured
DP04161,198,233,structured
DP04161,388,508,structured
DP04161,509,515,disordered
DP04161,516,550,structured
DP04167,1,25,structured
DP04167,62,84,structured
DP04167,270,329,structured
DP04167,330,348,disordered
DP04167,349,355,structured
DP04169,1,33,disordered
DP04169,34,41,structured
DP04189,131,141,disordered
DP04189,263,273,disordered
DP04190,1,1,structured
DP04190,2,34,disordered
DP04190,35,88,structured
DP04191,1025,1090,disordered
DP04192,50,65,disordered
DP04193,38,54,disordered
DP04193,55,74,structured
DP04197,1,8,structured
DP04197,9,30,disordered
DP04197,31,169,structured
DP04197,243,572,structured
DP04198,2950,2989,disordered
DP04199,1,164,structured
DP04199,165,178,disordered
DP04219,1,27,disordered
DP04219,162,204,structured
DP04235,128,139,structured
DP04235,140,183,disordered
DP04235,184,186,structured
DP04236,65,75,disordered
DP04239,302,320,disordered
DP04239,321,334,structured
DP04241,1,59,structured
DP04241,60,70,disordered
DP04241,71,79,structured
DP04241,80,118,disordered
DP04241,119,184,structured
DP04241,185,198,disordered
DP04241,199,287,structured
DP04241,288,294,disordered
DP04241,295,467,structured
DP04250,130,144,disordered
DP04250,145,146,structured
DP04255,69,112,structured
DP04255,113,170,disordered
DP04255,171,191,structured
DP04257,157,169,structured
DP04257,170,175,disordered
DP04257,176,194,structured
DP04257,344,404,structured
DP04259,229,281,structured
DP04259,282,299,disordered
DP04260,40,63,disordered
DP04264,1,420,structured
DP04264,421,439,disordered
DP04264,440,470,structured
DP04264,471,495,disordered
DP04264,496,555,structured
DP04264,556,571,disordered
DP04264,572,713,structured
DP04273,1,330,disordered
DP04280,1,989,disordered
DP04295,300,429,structured
DP04295,430,465,disordered
DP04295,466,518,structured
DP04298,300,524,structured
DP04298,525,555,disordered
DP04298,556,583,structured
DP04308,1,204,disordered
DP04328,1,175,structured
DP04328,176,200,disordered
DP04328,201,232,structured
DP04328,344,354,structured
DP04328,498,620,structured
DP04337,364,371,structured
DP04337,372,377,disordered
DP04337,378,413,structured
DP04341,398,398,structured
DP04341,399,439,disordered
DP04341,440,543,structured
DP04379,1,110,disordered
DP04379,111,159,structured
DP04379,314,354,structured
DP04388,1,64,structured
DP04388,65,97,disordered
DP04388,98,242,structured
DP04391,24,50,disordered
DP04391,51,51,structured
