acc,start,end,label
A0A0G2JXC5,85,217,disordered
A0A0G2JXC5,230,261,disordered
A0A0H2ZP82,40,50,disordered
A0A0H2ZP82,51,159,structured
A0A0H3CFC9,1,22,disordered
A0A0H3CFC9,23,54,structured
A0A0H3GD84,25,38,disordered
A0A0H3GD84,39,526,structured
A0A0H3MCR9,1,13,disordered
A0A0H3MCR9,14,46,structured
A0A0H3MCR9,49,65,structured
A0A0H3MCR9,74,109,structured
A0A0H3MCR9,115,180,structured
A0A0M4HM24,1,212,disordered
A0A109NYM0,1,10,disordered
A0A109NYM0,12,195,structured
A0A140GKJ0,1,55,structured
A0A140GKJ0,56,88,disordered
A0A142G2L5,21,181,disordered
A0A175WC91,5,117,structured
A0A175WC91,118,133,disordered
A0A175WC91,134,243,structured
A0A178W0D3,221,259,disordered
A0A1B0GTR3,1,108,disordered
A0A220GHA5,1,22,disordered
A0A220GHA5,23,140,structured
A0A2V2WGW5,5,23,disordered
A0A2V2WGW5,24,170,structured
A0A2Z5UJ33,8,21,disordered
A0A2Z5UJ33,22,72,structured
A0A2Z5UJ33,73,91,disordered
A0A2Z5UJ33,92,202,structured
A0A2Z5UJ33,203,212,disordered
A0A2Z5UJ33,213,490,structured
A0A384E149,1,66,structured
A0A384E149,72,413,structured
A0A384E149,414,439,disordered
A0A396GSL0,33,55,disordered
A0A396GSL0,56,68,structured
A0A3S5Y0Q5,27,66,disordered
A0A504WW14,1,1259,disordered
A0A504WW14,1260,1344,structured
A0A504XZ90,1,29,disordered
A0A504XZ90,30,183,structured
A0A504XZ90,184,237,disordered
A0A504XZ90,238,297,structured
A0A504Y5E1,2,273,structured
A0A504Y5E1,274,285,disordered
A0A5F9ZHA1,662,672,disordered
A0A5F9ZHA1,796,852,disordered
A0A5F9ZHA1,1059,1068,disordered
A0A5F9ZHA1,1189,1201,disordered
A0A5F9ZHA1,1403,1430,disordered
A0A6L0XH39,7,51,structured
A0A6L0XH39,71,252,structured
A0A6L0XH39,268,284,disordered
A0A6L0XH39,304,323,disordered
A0A6L0XH39,325,360,structured
A0A6L0XH39,361,373,disordered
A0KJC7,1,230,disordered
A0KJC7,232,374,structured
A0KJC7,388,474,structured
A0L5S6,1,91,structured
A0L5S6,100,129,structured
A0L5S6,131,220,structured
A0L5S6,222,239,disordered
A0MHA3,23,34,structured
A0MHA3,36,64,disordered
A0R1T8,1,238,disordered
A0R1T8,240,290,structured
A0ZWU1,158,251,disordered
A1B602,1,19,disordered
