Ep,Train loss,Dev Loss,Dev AUC,Dev error,Best AUC,Counter
0,0.4399702726918108,0.3167205270030346,0.9096846188329168,0.12037001692305738,0.9096846188329168,0
1,0.3940061096467224,0.3103221335033287,0.9162681277245428,0.11613289053453957,0.9162681277245428,0
2,0.3770196141565547,0.3084612249633554,0.9186757034895023,0.11606927001819545,0.9186757034895023,0
3,0.36599808349913243,0.3058656227890765,0.9212899130743674,0.11500044534361442,0.9212899130743674,0
4,0.35104093224394556,0.32387972009099575,0.9135288903076872,0.12269852782125179,0.9212899130743674,1
5,0.336607705348847,0.31199311718389433,0.9138166430247187,0.11963201893346564,0.9212899130743674,2
6,0.3232489650594253,0.3146493120834674,0.9139600808442707,0.12159153083686425,0.9212899130743674,3
7,0.31398400703773777,0.32728568877751696,0.9085248996935391,0.12442900586581163,0.9212899130743674,4
8,0.302832083535545,0.34832379622008547,0.9077013400315008,0.13884541486938706,0.9212899130743674,5
9,0.2929730775455634,0.3150768266904607,0.9140066827346713,0.11907215838963747,0.9212899130743674,6
10,0.29035158972529806,0.31136339189275825,0.9136722145120351,0.11351172526116227,0.9212899130743674,7
11,0.27847130961862265,0.3204329982710176,0.9139151010173067,0.12395821404486518,0.9212899130743674,8
12,0.2769770383542659,0.319285951026264,0.913594946737892,0.11748164548103468,0.9212899130743674,9
13,0.27134313137800087,0.32724133254870297,0.9110094102496724,0.11824509167716402,0.9212899130743674,10
